Feature_id	Mean_decrease_in_accuracy	Standard_deviation
212787	0.010795174154882	NA
544358	0.00924608665108593	NA
311477	0.00870820886042726	NA
302160	0.00870783903196401	NA
567197	0.00845771194025884	NA
331820	0.0077726493664391	NA
236480	0.00750117258851094	NA
470761	0.00636588052952652	NA
191541	0.00632475563997013	NA
355255	0.00604024722227503	NA
204121	0.00592830116837527	NA
469709	0.00577203594687509	NA
212532	0.00567994865149516	NA
353985	0.00555025198304442	NA
550814	0.00535142092725167	NA
375225	0.00532896232222881	NA
259569	0.00529399278582022	NA
186029	0.00484837325965074	NA
288588	0.00481250142269364	NA
354737	0.00480989916000318	NA
470759	0.00479165766002167	NA
203708	0.00458073368700537	NA
216862	0.0044097788339255	NA
361496	0.00435448459151423	NA
183410	0.00424508943943039	NA
204889	0.00418895329043857	NA
130337	0.00407545289192414	NA
326977	0.00406423564754646	NA
189047	0.00403279032355552	NA
291090	0.00393860965972342	NA
181961	0.00392118887085978	NA
210793	0.0038859897878541	NA
296949	0.00372060237865158	NA
302377	0.00349505779781517	NA
212619	0.0033378972607864	NA
208377	0.00332404915554554	NA
578799	0.00330297818627716	NA
207065	0.00312781135987828	NA
178513	0.00298026764913965	NA
243150	0.00296747431809861	NA
187360	0.00291554345082492	NA
311704	0.0028809020005168	NA
188238	0.00283848134187567	NA
191898	0.00279133945919711	NA
208751	0.00271701583469392	NA
176115	0.00266423627576092	NA
74314	0.00252045573448166	NA
203843	0.00249481953012733	NA
175401	0.00241039497698188	NA
166689	0.00233510803031836	NA
296901	0.00223174944055338	NA
166869	0.00219052721954271	NA
215231	0.00212432216265566	NA
548032	0.00205696179013753	NA
181174	0.00200682781277781	NA
184209	0.0020024606253126	NA
248140	0.00199967426966208	NA
204072	0.00198303037992284	NA
167602	0.00196856547031652	NA
179861	0.00194565157644033	NA
44151	0.00193812564544099	NA
364261	0.00183928465104861	NA
191303	0.00177489468199079	NA
366374	0.0017567571959816	NA
180565	0.00175568419023524	NA
469482	0.00174817060369491	NA
207580	0.00170360329136555	NA
470114	0.0016933294358606	NA
347862	0.0016256823392675	NA
297295	0.00161914875715959	NA
205241	0.0016038900705485	NA
117676	0.00160349968889558	NA
185281	0.00159726234467671	NA
205531	0.00156791760522196	NA
205119	0.0015653463507514	NA
193632	0.00154413376833038	NA
289306	0.00154377110904023	NA
107252	0.00152707820366011	NA
211013	0.00151989755000553	NA
167365	0.00151398961674213	NA
223059	0.00147865363335354	NA
454252	0.00146463565002578	NA
114087	0.00143628344458002	NA
184895	0.00142651913258585	NA
361809	0.00133671144706078	NA
365676	0.00131445959592421	NA
157966	0.00130132168556754	NA
203620	0.00126354322286521	NA
415631	0.00125382204009928	NA
23757	0.00124869306540813	NA
188646	0.00122862214049578	NA
207983	0.00122616934315792	NA
296591	0.00121052088128659	NA
179989	0.00120150365751009	NA
326369	0.00111411415161471	NA
174885	0.00110174196725833	NA
110815	0.00103435672289728	NA
212288	0.00100354838281403	NA
49274	0.000991088178629429	NA
199421	0.00096585722945795	NA
174911	0.000959759717878463	NA
593352	0.000949950115153685	NA
352215	0.000948766662373544	NA
212304	0.000928796830768322	NA
110723	0.000905796040199561	NA
223222	0.000902914040329651	NA
212878	0.000898440396909723	NA
536281	0.000894364393940912	NA
583958	0.000869754462904728	NA
206631	0.000865804944017854	NA
361304	0.000858480631647782	NA
215433	0.000832954688438788	NA
190307	0.000832189166526905	NA
358834	0.000820229352574035	NA
180658	0.000799257354907188	NA
212474	0.000790868154218809	NA
209475	0.000782795514124915	NA
361864	0.000782272337430228	NA
188077	0.000768623606214274	NA
292740	0.000730195690595694	NA
174093	0.000710098545324464	NA
268540	0.000705237825065061	NA
162651	0.000701730832612954	NA
38129	0.000700130835661027	NA
470973	0.000687418021586164	NA
198523	0.000682297168841584	NA
296872	0.000681262210419983	NA
365125	0.000676175008268833	NA
541301	0.000663157184550919	NA
362854	0.000663026315789474	NA
316911	0.000662707428775352	NA
358594	0.000648033943532016	NA
207624	0.000628451771978768	NA
528722	0.000626321121711919	NA
291266	0.000622408369158538	NA
176861	0.000621256367791673	NA
297045	0.000612928096336591	NA
268332	0.000599726909024623	NA
209845	0.000598586169029723	NA
278423	0.000580090058976675	NA
112837	0.00056961637588002	NA
579000	0.000545876794958118	NA
213870	0.000539662987780844	NA
185451	0.000531342256406167	NA
583134	0.000518879656785692	NA
196795	0.000518637154678695	NA
569158	0.000493941456876352	NA
128382	0.000487914833721348	NA
